author,text,likes,published_at
@ThambahadurPurja,Tero jholi police le taki taki goli haneko bhule xaina police terikiai goli handaina ho police ta jastai thiyo,0,2026-05-24T16:57:34Z
@YangbahadurMagar,केपि। वलिहतयाँअरे  झापा।  ढकालाइबनचोरो।   १४ बष। जेल जाने।  केपि ओलि।   होइन,0,2026-05-24T15:03:34Z
@Robin-l1l9c,Yo Oli yati jhuto.yati dhurta ra yati nachahido batho chha ki yasko mukhai ma thuke pani kam hunchha.Yaslai ta laat lagaudai desh bata lakhetnu parne ho.,0,2026-05-23T23:48:45Z
@PritamBhandari-n7r,Tati Khar chi tela guy kayar basiraco thiys,0,2026-05-22T13:44:53Z
@Smarikapaudel-j5f,❤,0,2026-05-22T12:02:25Z
@kamalgarbuja8493,G n g le bhetda ba bhabxan gu kha bhanxaki bhandainan,0,2026-05-21T10:09:11Z
@MinTamang-w7n,ब ले थाहा भएर किन चुपचप बसेको हौ,0,2026-05-20T07:30:49Z
@aitatamang1096,toa sale,0,2026-05-16T16:32:12Z
@aitatamang1096,tapai Le Rabi 4 d gumaiye,0,2026-05-16T16:22:45Z
@aitatamang1096,bhrastachar,0,2026-05-16T16:22:01Z
@aitatamang1096,thik,0,2026-05-16T16:15:11Z
@aitatamang1096,pm tapai anikos Lai dos,0,2026-05-16T16:13:47Z
@aitatamang1096,patrukar ju barda mabolanu parne,0,2026-05-16T16:12:26Z
@DhurbaRanachhetri,Kina aadesh dista vrastachari lutera deshghati rastraghati  marisakepaxi dukhi vako xu vannalajxaina,0,2026-05-12T17:29:13Z
@DhurbaRanachhetri,Rip jyanmara hattyara sindhuliko thapa marne  ra bachne dosadma xa teraikaranle aparadhi bolna laj xaina  marna samma marihalis ahile sachilo hunxas daka,0,2026-05-12T17:27:22Z
@Rajintamangg,24 ghanta sutera basthyo ki k ho pm.kehi thaha thiyena vanna milxa ? Yo gairjimmewar hoina ?,0,2026-05-11T16:41:37Z
@PunyawatiRayachhetri,yo chor baadar  laai pm banaay pachhi desh ko sabai bagaichaa satyanaash banaayo.,0,2026-05-09T08:10:30Z
@gopalkhatri360,hattayara vastchari harulai rabi ko pap lageko  ho bujinas aaba herdai ja tero halat ke hun6,0,2026-05-07T07:35:28Z
@GangaramAdhikari-r6n,"तेरा,कारण,लेभयकाे,हाे,याेयिसथिति",0,2026-05-05T14:30:25Z
@SherBabadur-z4f,"Manchhemarne,Abradhi,ki,Marne,Abradhi,kastaLai,Abradhi,Vaneko,ho,",0,2026-05-01T16:47:45Z
@YamBahadurKC-p9u,Yes🎉kp oli,0,2026-04-30T05:42:37Z
@PrakashMagar-q4r,"Kp baa, gindabad,  jalahunee, haru ko panee, kantabijok hos,  radee,radee",0,2026-04-29T06:20:15Z
@KrishnaKnl-pl8cb,"सबै थाहा छः 
कै थाहा छैन 🤭",0,2026-04-28T17:04:44Z
@RajuGurung-v9m,Chor oli dherai Dhatni Hoina Aba janta lai Uml  ko sabai jhut  Tha bhai sakeyo,0,2026-04-28T16:09:25Z
@KrishnamoktanKrishnamoktan-r6u,पापी,0,2026-04-26T17:25:57Z
@achhaambudha,न्याधिश केपी से रे अनि प्रचण्डको को हो त्यही भएर यसले  छुट  पाएको छ अब न्याधिश फेर्नु  पर्छ जेन्जी  पनि आधा भन्दा बढी त केपी कै झोले हुँ भन्ने प्रष्ट देखिएका छौं हामीले,0,2026-04-24T18:41:10Z
@devimaya,खट्क प्रसाद बलि को कारण नबुझ्ने को कुरा मदन भण्डारी लाई  बेवास्ता गर्नु होला,0,2026-04-23T17:33:48Z
@durgalimbu6513,बाले   मनर   बिचाकाे   हाकाे   देश  रहेछ  छ  बा,0,2026-04-23T16:51:59Z
@DhanRana-w4p,Ncl को अबौ रकम छुटको नाममा भ्रटचार गर्ने अनि जनताको लागि समाजिक संजाल बन्द गर्ने तिम्रा मोटा बुद्धि ।,0,2026-04-22T16:46:24Z
@yubrajkharalsharma9859,Kp pli,0,2026-04-22T03:54:23Z
@yubrajkharalsharma9859,Rawa le marne bela samman pani  galti maneko tihiyena k,0,2026-04-22T03:21:23Z
