author,text,likes,published_at
@TheBeatles09,Esta 2-4 seats jitne harule almost 2/3 rd votes jitne lai resign garne sunera has po uthya ta😂😂,0,2026-05-19T13:46:52Z
@nepaliketo4999,Harka is real hero,0,2026-05-18T10:20:32Z
@SumanLimbu-n2k,Yo harkey rw pahila ko neta ma k e farak xaina,0,2026-05-18T10:15:11Z
@PrabinMan-vh9lk,"Yo 4 jibre harke ,, manxe haru laae next level ma manipulate gardae xa",0,2026-05-17T06:48:18Z
@YounikMagar-f8l,@shilapatra media,0,2026-05-15T19:15:42Z
@bella-lo7sc,"Harke lai Balen herna payena vane baulaune reicha, one sided love parecha. aggressive type ko😮",0,2026-05-15T14:46:48Z
@MaNiSHYADAV-t9g7k,Desh bikash garcha vaneko jhole hru birod ra khutta tandai besta cha😢,0,2026-05-15T11:12:20Z
@AlexGamer-qx2xd,सम्मनिय सभामुखज्यु हजुरलाइ उच्च सम्मान कसरि सहनु हुन्छ हजुर ले ？😔,0,2026-05-15T09:31:03Z
@SamirSapkota-p9h,harke ko rajinama chahiyo,0,2026-05-15T08:44:36Z
@jyotigurung1438,होइन हो विरोध गर्नु को पनि एउटा सीमा हुन्छ नि सभामुख को कुरा पनि नसुन्ने मुर्ख हरु के मननेनिय भै राखेको होला बिचार सभामुख ले अनुरोध गरेँको सुन्दै रिस. उठाउने के खाल को मुर्ख हरु हो छी छी लाजमर्दो,0,2026-05-15T07:30:59Z
@rajmaharjan9991,Rajneeti Black ki White ho.  Harka sampang ki sotantra sanga milnu paryo ki bidroha ma ganu parxa.. Rajneeti ma 1 barsa Aam manisnko 50.barsa jatiko hunxa.. yaha ta ulto vairaxa..desh nai khali hola vamne vayo...Aba??? Kunai kura ma sahamat hudaina vane bipaxa chahidaina!!,0,2026-05-15T05:17:22Z
@sugam102,Bahumat diyera pathako party ko pm lai 5 seat bhako le bhukeko chai Ali chitta bhujhena,0,2026-05-15T03:09:07Z
@reallearner590,harka is real hero...balen murdabaad,0,2026-05-15T00:38:41Z
