author,text,likes,published_at
@ipgautam4496,"हाम्रो प्रम ज्यू संसदमा  उपस्थित हुनु भएन(बिचमै छोडेर पनि हिड्नु भयो) , अरु मन्त्रि ज्यू हरु पनि विस्तारै नआउन थाल्नुभएको छ, सांसद ज्यूहरु को सिट पनि खालि नै देखिन्छ , कहिलेकाहीँ विपक्षी ज्यू हरुले संसद नै छोडेर जानुहुन्छ, हाम्रा १८२ जना सांसद बाहेक अरु ९३ जना पनि त निर्वाचित भएरै जनताको मत ले नै आउनु भएको हो ।  यसरी नै सरकार पनि र सांसदहरु पनि संसदमा उपस्थित नहुँदै जाने हो भने संसद बैठक कसरि चल्छ र ??",1,2026-05-27T05:49:08Z
@KabitaPaudel-n2p,From the date balen support to make  sushila karki as pm instead of harka from that day he is against balen if balen could have supported harka genz would have  make harka as pm cause at that time genz are only listening to balen because of balen harka couldn’t become pm that is why is angry at balen other than that there is no any other reasons for his behaviour towards balen,0,2026-05-27T02:19:14Z
@dalbahadurkhadka1289,हकॅबाद त हुदै हेाईन १००प् तीशत हुलरबाद अराजक आरीसे  र नैतीकता िबहीन अपराधी हेा   तर यसैलाई िमडीया ले बढाई चढाई गरेर ठालु बनाई िदएकेा छ अझै हेदैॅ जानु यसकेा हकॅत,0,2026-05-27T01:21:42Z
@GomaSherpa-u7c,"Harka is absolutely right and voices of people. I am wondering why are medias  after Harka and creating hateful contents about him even current pm is wrong deeds, avoiding Parliament? Pm is incredibly jerk guy who doesn't care about people and also symbol of destruction .",0,2026-05-26T19:04:18Z
@PusparajShrestha-t1d,Sorry sir but Zan ji la Balan sir law magako teyo harka law hoena,0,2026-05-26T18:48:19Z
@BasantaKandel-v1m,यो हर्क किन सन्केकौ...बालेन त काममा लागेको अवस्था हो किन सन्केकौ हर्के,0,2026-05-26T17:53:53Z
@DineshKulung-m8u,sahiho,0,2026-05-26T17:02:35Z
@KrishnaBdrchhetriChhetri,Same old kp oli haru ko chela  haru ho timi haru,0,2026-05-26T15:09:03Z
@DhurendraYadav-d6x,❤❤❤❤,0,2026-05-26T14:59:14Z
@manirajrai-w6o,jay mato 🤝✊✊🙏🙏,0,2026-05-26T13:44:50Z
@therockhubs,यो पनि झोले,0,2026-05-26T11:53:19Z
@Diamond-t6v2e,Get outside harke,0,2026-05-26T11:21:18Z
@rajanvlog08,Chameliko teel napugyaa😂,0,2026-05-26T10:06:16Z
