author,text,likes,published_at
@SidhaKura_,समाचार पढ्न : https://sidhakura.com/news/Gn4WVU-2024-04-09-034103,7,2024-04-10T05:24:08Z
@HariKumar-rx6lb,👍🏻👍🏻👍🏻🇳🇵😀,0,2026-04-18T03:24:59Z
@bhumirajrai6276,"पातकी बुढा पो रछ?
अब भने पर्‍यो फन्दामा।",0,2026-04-18T02:51:06Z
@shankarjha5315,Puti kachyak  parne  ko,0,2026-04-17T01:23:31Z
@DhanppradJaishy,"Communist ra congress netaharuko  yasta chartikala dherai dherai xchan , desh lutne ani feri tyahi desh luteko paisa le randibaaji garne , yahi ho communist ra congress netaharuko ko asal charitra , iniharu nepali janata ko akarmanyata ra vivekhinta le upaje ka bishaalu biruwa hun , inharuko sarvanaash na gari desh ra janata dukka le baachna paaune sambhavna xchaina , Jay Nepal 👏",0,2026-04-11T12:15:57Z
@yatri063,...,0,2026-04-04T09:36:24Z
@yatri063,.....,0,2026-04-04T09:36:15Z
@yatri063,...,0,2026-04-04T09:36:05Z
@TekbahadurB.c-r6r3u,याे बलत्कारिलाइ तु कार्बाहि हुनुपर्छ ।,0,2026-04-03T15:41:46Z
@cmsangraula9477,Yo Pura praman KO Aadhar maa  jail hale bhaigo ni bichara dherai vayo anyways maa pareki ti mahila.,0,2026-04-03T10:12:08Z
@MCC-Mob.Cam.Channel,Sand Lami ra Paul Sa Lai pakrina huda Mah Bas Lai napakrana adesh kin diyo adalat le,0,2026-04-01T03:35:52Z
@Trinetra-Shah,"🙏🇳🇵🙏एमालेले गर्ने भनेको आन्दोलनमा स्थानीय  पालीकामा सार्वजनिक पद धारण गरेर बसेकाहरू अफीस छाडी छाडी सहभागी हुन जान्छन् भने CDO हरुले कार्वाही गर्नुपर्छ 🙏त्यसो गर्दैन भने आमजनता ले नै CDO सग जवाफदेहीता माग्नुपर्छ 🙏🙏🙏🇳🇵 यसपालिको आन्दोलनमा सहभागी भएर tyre बाल्ने ,राज्यको समप्त्त्ती वीगार्ने,तोड्ने जस्ता गैरकानुनी कार्य गरे र समातीए भने चै अभीलेखमा recorded हुनेछ र police report ,आदि आदिमा भवीश्यमा असर पर्नेछ 😢😢 पहीला पहीला जस्तो आफना नेताहरूको फोन ले आफुलाइ छुटाइहाल्छ भन्ने भ्रममा नपरे  हुन्छ 🙏 अहिले बहुमतको एक्लो सरकार छ 🙏चेतना भया🙏🇳🇵🇳🇵",2,2026-04-01T03:32:48Z
@s..t2465,vrud hatya ma e dubai lae sajaya vognu parx ...vogate lai jail ma kochnai parx,0,2026-03-31T12:34:31Z
@THALARIvlog,बालेन PM भएपछि यो भिडियो हेर्ने जति हाजिर हुनुहोस् त्😁🙏🙏,1,2026-03-31T05:11:07Z
@AmritWagle-g8d,Launa yo vdo sabai saga pugnu paryo,0,2026-03-30T05:42:30Z
@AmritWagle-g8d,Aba Kahiley jail janxa yo,0,2026-03-30T05:37:09Z
@AmritWagle-g8d,.,0,2026-03-30T05:36:55Z
@SajanaShrestha-i8k,Yesto manchele ani Rabi balen jasta desh bhakti bektilai question uthaune. Chor bhogate. Laj chaina.,0,2026-03-29T11:08:38Z
@HimalChhetri-n4l,Anyone after balen pm??,1,2026-03-29T06:40:24Z
@keshabrai9466,Esta chor netaharule Garda sarbasadharanharuko  bichalli vayako xa,0,2026-03-15T10:33:04Z
@durgaka,भाेगटेकाे   दिन    सकियो,0,2026-03-14T14:20:48Z
@RamhariBaniya-y2y7t,यस्तै  यस्तै डांका हरु बोका हरु मात्र मन्त्री  हुदा रहेछन यो देशमा राम्रा मननिस हरु ईनि हरुका आखाले देख्न सक्दैन  थे  देश मारा हरु,0,2026-01-28T04:15:28Z
@ArcyyBlox,यो कुकुर कहिले जेल जान्छ,0,2026-01-17T15:35:47Z
@rajlimbu5997,भोगटे बहारु को कानड 😂,0,2025-11-07T11:40:21Z
